mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_colsample_bytree,param_lambda_l1,param_lambda_l2,param_learning_rate,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_subsample,param_subsample_for_bin,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.7364246050516765,0.03745699332319817,0.16892210642496744,0.04804840018883348,goss,0.6,4,11,0.02,6,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.150863171892123,-3.663751755110726,-3.9625652142170575,-3.925726713739969,0.2005611950299215,268,-3.630135619420384,-3.702031330394574,-3.6577174415875815,-3.66329479713418,0.02961506919673331
1.7449692885080974,0.026188263131964023,0.22826393445332846,0.050258230328326305,goss,0.6,4,11,0.02,6,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.150863171892123,-3.5680203517874207,-3.9897705737008526,-3.902884699126799,0.2457482514515946,205,-3.640054944640259,-3.81779249938303,-3.7210916115804755,-3.726313018534588,0.07265492371211653
1.7245723406473796,0.02001235211044725,0.2019814650217692,0.06244517235588152,goss,0.6,4,11,0.02,7,14,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.02, 'max_depth': 7, 'min_child_samples': 14, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.244895611906241,-3.6558698849090097,-3.8890872965260113,-3.9299509311137535,0.24219854698152726,295,-3.8132486654577598,-3.836590212732089,-3.717222861674736,-3.7890205799548617,0.05165521090179992
1.7112023035685222,0.00634746653894563,0.28486355145772296,0.08296366412792902,goss,0.6,4,11,0.02,7,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.02, 'max_depth': 7, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.150863171892123,-3.663751755110726,-3.9625652142170575,-3.925726713739969,0.2005611950299215,268,-3.630135619420384,-3.702031330394574,-3.6577174415875815,-3.66329479713418,0.02961506919673331
1.7442710399627686,0.02388990747434338,0.25904130935668945,0.07893967410136682,goss,0.6,4,11,0.02,7,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.02, 'max_depth': 7, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.150863171892123,-3.5680203517874207,-3.9897705737008526,-3.902884699126799,0.2457482514515946,205,-3.640054944640259,-3.81779249938303,-3.7210916115804755,-3.726313018534588,0.07265492371211653
1.7214465141296387,0.012317337181561739,0.3315587838490804,0.04288663578818048,goss,0.6,4,11,0.02,8,14,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_samples': 14, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.244895611906241,-3.6558698849090097,-3.8890872965260113,-3.9299509311137535,0.24219854698152726,295,-3.8132486654577598,-3.836590212732089,-3.717222861674736,-3.7890205799548617,0.05165521090179992
1.6990466912587483,0.030086107874125422,0.08123008410135905,0.0013228416227062734,goss,0.6,4,11,0.02,8,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.150863171892123,-3.663751755110726,-3.9625652142170575,-3.925726713739969,0.2005611950299215,268,-3.630135619420384,-3.702031330394574,-3.6577174415875815,-3.66329479713418,0.02961506919673331
1.6978880564371746,0.04371890617456369,0.10348192850748698,0.03136759920242015,goss,0.6,4,11,0.02,8,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.150863171892123,-3.5680203517874207,-3.9897705737008526,-3.902884699126799,0.2457482514515946,205,-3.640054944640259,-3.81779249938303,-3.7210916115804755,-3.726313018534588,0.07265492371211653
1.6919315656026204,0.04087422775239399,0.10051886240641277,0.02164573431175834,goss,0.6,4,11,0.025,6,14,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.025, 'max_depth': 6, 'min_child_samples': 14, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.103913408340616,-3.802832952094854,-4.047197510908961,-3.984647957114811,0.13063102054559259,433,-3.5507989350177342,-3.8234415172683396,-3.816536026583037,-3.730258826289704,0.12692861742441822
1.6996958255767822,0.03931374569064273,0.14540322621663412,0.04067551220313885,goss,0.6,4,11,0.025,6,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.025, 'max_depth': 6, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.117880255549336,-3.8649062084350767,-4.034705212756708,-4.005830558913707,0.10527512005615482,481,-3.5273655456030766,-3.8290822012065924,-3.6704798136415517,-3.6756425201504066,0.12322939373654614
1.7306305567423503,0.03903547056606847,0.23255507151285806,0.01025734888313346,goss,0.6,4,11,0.025,6,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.025, 'max_depth': 6, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.123105625617661,-3.7068024786039806,-3.9204836828754064,-3.9167972623656824,0.16997503704074568,235,-3.6607980424618223,-3.87576866360893,-3.691002736254847,-3.7425231474418665,0.09502230112190502
1.713327169418335,0.045587791741870776,0.1583847999572754,0.052863784613164676,goss,0.6,4,11,0.025,7,14,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.025, 'max_depth': 7, 'min_child_samples': 14, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.103913408340616,-3.802832952094854,-4.047197510908961,-3.984647957114811,0.13063102054559259,433,-3.5507989350177342,-3.8234415172683396,-3.816536026583037,-3.730258826289704,0.12692861742441822
1.7157173951466878,0.009458789318773043,0.19435787200927734,0.017259089739336066,goss,0.6,4,11,0.025,7,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.025, 'max_depth': 7, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.117880255549336,-3.8649062084350767,-4.034705212756708,-4.005830558913707,0.10527512005615482,481,-3.5273655456030766,-3.8290822012065924,-3.6704798136415517,-3.6756425201504066,0.12322939373654614
1.718658685684204,0.008372322645413953,0.19700169563293457,0.016362472658365428,goss,0.6,4,11,0.025,7,16,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.025, 'max_depth': 7, 'min_child_samples': 16, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.123105625617661,-3.7068024786039806,-3.9204836828754064,-3.9167972623656824,0.16997503704074568,235,-3.6607980424618223,-3.87576866360893,-3.691002736254847,-3.7425231474418665,0.09502230112190502
1.6656957467397053,0.025705922106734846,0.08243974049886067,0.0005979381213110067,goss,0.6,4,11,0.025,8,14,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.025, 'max_depth': 8, 'min_child_samples': 14, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.103913408340616,-3.802832952094854,-4.047197510908961,-3.984647957114811,0.13063102054559259,433,-3.5507989350177342,-3.8234415172683396,-3.816536026583037,-3.730258826289704,0.12692861742441822
1.676949183146159,0.052167870731235993,0.09433309237162273,0.017607299541820564,goss,0.6,4,11,0.025,8,15,14,1600,15,0.3,5000,"{'boosting_type': 'goss', 'colsample_bytree': 0.6, 'lambda_l1': 4, 'lambda_l2': 11, 'learning_rate': 0.025, 'max_depth': 8, 'min_child_samples': 15, 'min_child_weight': 14, 'n_estimators': 1600, 'num_leaves': 15, 'subsample': 0.3, 'subsample_for_bin': 5000}",-4.117880255549336,-3.8649062084350767,-4.034705212756708,-4.005830558913707,0.10527512005615482,481,-3.5273655456030766,-3.8290822012065924,-3.6704798136415517,-3.6756425201504066,0.12322939373654614
