LS_MIN,LS_EFG_PCT,LS_FTA_RATE,LS_TM_TOV_PCT,LS_OREB_PCT,LS_OPP_EFG_PCT,LS_OPP_FTA_RATE,LS_OPP_TOV_PCT,LS_OPP_OREB_PCT,TEAM_SEASON,WIN_PCT,SEASON_YEAR,PO_WINS,HEIGHT_INCHES,WEIGHT,EXP
,,,,,,,,,1610612737_2000-01,0.305,2000-01,0,79.33333333333333,220.66666666666666,2.5833333333333335
16.81110323443952,0.42000735457088106,0.32996043708434025,0.174119647043822,0.23711863608299383,0.47597724921307466,0.35126901146874545,0.14325598244655685,0.30496614029787283,1610612737_2001-02,0.402,2001-02,0,80.0,224.6153846153846,3.1538461538461537
16.54014295469413,0.46847658380618157,0.3039779709591676,0.17122602998716946,0.23988711449809064,0.4977141295970358,0.3346812425666956,0.16822047918143002,0.2739027901995802,1610612737_2002-03,0.427,2002-03,0,79.1875,224.5625,4.125
14.15893992448455,0.4405338323552982,0.36570715900154493,0.1834992899588134,0.31757530047363247,0.443377341459031,0.3498714267652422,0.15140181668456856,0.2762905257938634,1610612737_2003-04,0.341,2003-04,0,80.13333333333334,227.0,4.0
17.28251281339529,0.4521723095238622,0.31613867719042704,0.1773415544951302,0.2792926303200228,0.4947546509008501,0.3400630367595405,0.14879116588389454,0.2944731065395185,1610612737_2004-05,0.159,2004-05,0,79.76923076923077,225.92307692307693,5.076923076923077
15.903511436735966,0.4751515419060538,0.460788169798512,0.17133663638397426,0.30039545022085956,0.5243659244998387,0.4992388090191063,0.16439392151822566,0.30603594083182284,1610612737_2005-06,0.317,2005-06,0,78.84615384615384,223.6153846153846,1.9230769230769231
15.970893917444984,0.46477094570648797,0.3624969464796354,0.1735743336193771,0.3014340827263432,0.5243771486588874,0.4142466355273434,0.1765861318306605,0.28222454899397215,1610612737_2006-07,0.366,2006-07,0,78.73333333333333,225.06666666666666,3.6666666666666665
17.353680788284656,0.44567697828690117,0.3863686226499437,0.17439669630415006,0.26060815946050836,0.5138918385413325,0.4307769623256471,0.15430630339010476,0.26264617135644425,1610612737_2007-08,0.451,2007-08,3,78.3076923076923,215.3846153846154,2.8461538461538463
18.015568175625276,0.45752249868645,0.3677877063443854,0.1556450492834736,0.26545893649515734,0.49112066960453454,0.3426645460548511,0.1349091787960138,0.257291574031918,1610612737_2008-09,0.573,2008-09,4,78.46666666666667,227.13333333333333,3.6
17.943552749647118,0.49037833804302516,0.38603217506914866,0.1304090663048878,0.2366863420756806,0.5145287923502538,0.38100156577778427,0.1556700649737261,0.24751872471759492,1610612737_2009-10,0.646,2009-10,4,79.53846153846153,230.76923076923077,6.0
17.62325448451896,0.45646916807704185,0.2927102836923429,0.1353920108675369,0.264551247099511,0.4812139567634591,0.3578374644668072,0.15111512107624417,0.2861037537823344,1610612737_2010-11,0.537,2010-11,6,80.2,232.33333333333334,5.333333333333333
17.494008876442283,0.48997312881909305,0.32515191948558375,0.16826473827303579,0.2204769240123445,0.5018539989514532,0.32428617086798583,0.13503627872868756,0.2601409541799184,1610612737_2011-12,0.606,2011-12,2,79.4,229.66666666666666,8.333333333333334
17.829399486707416,0.4898195419487855,0.26614558932348487,0.15469837995652214,0.2201532635217319,0.468945982436308,0.2701233588880975,0.16073138537709727,0.25487334417269275,1610612737_2012-13,0.537,2012-13,2,78.46666666666667,223.6,5.466666666666667
16.338617848693456,0.5016867806502392,0.250560117147323,0.17262214563743183,0.19739186108580176,0.5061765601726825,0.27984605628065173,0.1445548337186466,0.2683423775348942,1610612737_2013-14,0.463,2013-14,3,78.66666666666667,222.2,4.266666666666667
15.961988887625,0.49530420339544723,0.2842467822960542,0.16138884756190472,0.205841819548188,0.4906474300112589,0.2745467302885742,0.13534108408558923,0.2577280396463426,1610612737_2014-15,0.732,2014-15,8,79.0,221.46666666666667,5.066666666666666
15.520475554034366,0.4989397341707576,0.2524045254480027,0.1464997136800369,0.2031340607770524,0.4998829554732354,0.27172371058989553,0.15821170132930706,0.2634880270484925,1610612737_2015-16,0.585,2015-16,4,79.26666666666667,221.26666666666668,5.6
16.075487900079736,0.5145002746329883,0.25687528569475226,0.15241855641627575,0.18162817552090255,0.5032205936032189,0.26676202946004374,0.15538429102429727,0.23743624711124464,1610612737_2016-17,0.524,2016-17,2,79.2,219.93333333333334,6.2
15.614839336734889,0.47973351732254504,0.3424636506070152,0.14838933939371535,0.23620622402097532,0.48512239684913955,0.2495463991729246,0.15595192184110798,0.23214761716535454,1610612737_2017-18,0.293,2017-18,0,78.55555555555556,206.27777777777777,1.7777777777777777
15.727698610527295,0.4910009460778992,0.2506940031192392,0.14656181194678902,0.20401767786098404,0.5152516554187399,0.2732009379653151,0.13456205695086776,0.2233113438876673,1610612737_2018-19,0.354,2018-19,0,79.86666666666666,224.0,3.466666666666667
14.87258958916204,0.5055293164675002,0.26540173617674384,0.15350934320060733,0.24460994245739318,0.5495714083559894,0.4081139191541288,0.13014987629619032,0.20907789581954833,1610612737_2019-20,0.299,2019-20,0,78.8125,217.25,3.6875
16.892684583873027,0.48205970709319584,0.2828839688744202,0.1500106523053465,0.20757441373113217,0.5368560957719964,0.3254765460603858,0.15811229474223515,0.23843607246196696,1610612737_2020-21,0.569,2020-21,10,78.23529411764706,216.05882352941177,3.823529411764706
18.1308057232075,0.5132010397814679,0.31534703736590525,0.14288616569621193,0.2362266312009198,0.5299792963325102,0.2761826162299858,0.11998757512548298,0.2154499631912383,1610612737_2021-22,0.524,2021-22,1,78.3529411764706,212.88235294117646,4.411764705882353
