SEASON_YEAR,TEAM_ID,GAME_ID
2007-08,1610612737,G0020701222
2007-08,1610612764,G0020701218
2007-08,1610612746,G0020701226
2007-08,1610612759,G0020701223
2007-08,1610612745,G0020701226
2007-08,1610612744,G0020701230
2007-08,1610612755,G0020701217
2007-08,1610612753,G0020701218
2007-08,1610612760,G0020701230
2007-08,1610612757,G0020701229
2007-08,1610612748,G0020701222
2007-08,1610612752,G0020701220
2007-08,1610612749,G0020701224
2007-08,1610612766,G0020701217
2007-08,1610612763,G0020701228
2007-08,1610612742,G0020701227
2007-08,1610612739,G0020701219
2007-08,1610612756,G0020701229
2007-08,1610612750,G0020701224
2007-08,1610612761,G0020701225
2007-08,1610612751,G0020701221
2007-08,1610612738,G0020701221
2007-08,1610612740,G0020701227
2007-08,1610612741,G0020701225
2007-08,1610612754,G0020701220
2007-08,1610612762,G0020701223
2007-08,1610612743,G0020701228
2007-08,1610612765,G0020701219
2007-08,1610612747,G0020701216
2007-08,1610612766,G0020701212
2007-08,1610612765,G0020701213
2007-08,1610612751,G0020701212
2007-08,1610612746,G0020701214
2007-08,1610612763,G0020701215
2007-08,1610612757,G0020701215
2007-08,1610612758,G0020701216
2007-08,1610612737,G0020701211
2007-08,1610612750,G0020701213
2007-08,1610612740,G0020701214
2007-08,1610612753,G0020701211
2007-08,1610612754,G0020701205
2007-08,1610612749,G0020701207
2007-08,1610612752,G0020701206
2007-08,1610612744,G0020701209
2007-08,1610612748,G0020701203
2007-08,1610612741,G0020701207
2007-08,1610612745,G0020701208
2007-08,1610612755,G0020701204
2007-08,1610612758,G0020701210
2007-08,1610612762,G0020701208
2007-08,1610612764,G0020701205
2007-08,1610612761,G0020701203
2007-08,1610612738,G0020701206
2007-08,1610612756,G0020701209
2007-08,1610612739,G0020701204
2007-08,1610612759,G0020701210
2007-08,1610612739,G0020701197
2007-08,1610612765,G0020701199
2007-08,1610612747,G0020701198
2007-08,1610612753,G0020701200
2007-08,1610612748,G0020701197
2007-08,1610612760,G0020701202
2007-08,1610612761,G0020701199
2007-08,1610612745,G0020701201
2007-08,1610612759,G0020701198
2007-08,1610612742,G0020701202
2007-08,1610612743,G0020701201
2007-08,1610612741,G0020701200
2007-08,1610612742,G0020701195
2007-08,1610612762,G0020701193
2007-08,1610612746,G0020701196
2007-08,1610612757,G0020701195
2007-08,1610612758,G0020701194
2007-08,1610612749,G0020701192
2007-08,1610612766,G0020701190
2007-08,1610612755,G0020701188
2007-08,1610612738,G0020701189
2007-08,1610612750,G0020701191
2007-08,1610612744,G0020701196
2007-08,1610612764,G0020701188
2007-08,1610612754,G0020701190
2007-08,1610612740,G0020701194
2007-08,1610612751,G0020701192
2007-08,1610612763,G0020701191
2007-08,1610612737,G0020701189
2007-08,1610612743,G0020701193
2007-08,1610612745,G0020701184
2007-08,1610612737,G0020701181
2007-08,1610612752,G0020701181
2007-08,1610612756,G0020701184
2007-08,1610612754,G0020701177
2007-08,1610612759,G0020701185
2007-08,1610612738,G0020701180
2007-08,1610612740,G0020701187
2007-08,1610612739,G0020701179
2007-08,1610612755,G0020701177
2007-08,1610612763,G0020701182
2007-08,1610612741,G0020701179
2007-08,1610612758,G0020701186
2007-08,1610612748,G0020701182
2007-08,1610612750,G0020701178
2007-08,1610612747,G0020701187
2007-08,1610612753,G0020701178
2007-08,1610612765,G0020701183
2007-08,1610612764,G0020701183
2007-08,1610612751,G0020701176
2007-08,1610612757,G0020701186
2007-08,1610612749,G0020701180
2007-08,1610612760,G0020701185
2007-08,1610612761,G0020701176
2007-08,1610612744,G0020701173
2007-08,1610612762,G0020701174
2007-08,1610612747,G0020701175
2007-08,1610612746,G0020701175
2007-08,1610612743,G0020701173
2007-08,1610612742,G0020701174
2007-08,1610612750,G0020701170
2007-08,1610612766,G0020701169
2007-08,1610612739,G0020701168
2007-08,1610612765,G0020701165
2007-08,1610612755,G0020701165
2007-08,1610612741,G0020701167
2007-08,1610612749,G0020701164
2007-08,1610612753,G0020701167
2007-08,1610612745,G0020701171
2007-08,1610612759,G0020701172
2007-08,1610612752,G0020701169
2007-08,1610612751,G0020701168
2007-08,1610612756,G0020701172
2007-08,1610612740,G0020701170
2007-08,1610612761,G0020701164
2007-08,1610612738,G0020701166
2007-08,1610612760,G0020701171
2007-08,1610612764,G0020701166
2007-08,1610612744,G0020701163
2007-08,1610612757,G0020701161
2007-08,1610612743,G0020701162
2007-08,1610612746,G0020701162
2007-08,1610612765,G0020701156
2007-08,1610612740,G0020701159
2007-08,1610612741,G0020701155
2007-08,1610612742,G0020701160
2007-08,1610612749,G0020701157
2007-08,1610612737,G0020701154
2007-08,1610612758,G0020701163
2007-08,1610612750,G0020701153
2007-08,1610612748,G0020701155
2007-08,1610612766,G0020701153
2007-08,1610612763,G0020701158
2007-08,1610612760,G0020701160
2007-08,1610612762,G0020701159
2007-08,1610612738,G0020701157
2007-08,1610612756,G0020701158
2007-08,1610612752,G0020701156
2007-08,1610612754,G0020701154
2007-08,1610612747,G0020701161
2007-08,1610612756,G0020701144
2007-08,1610612749,G0020701146
2007-08,1610612748,G0020701143
2007-08,1610612745,G0020701152
2007-08,1610612746,G0020701152
2007-08,1610612757,G0020701147
2007-08,1610612753,G0020701145
2007-08,1610612754,G0020701146
2007-08,1610612752,G0020701145
2007-08,1610612740,G0020701149
2007-08,1610612763,G0020701148
2007-08,1610612759,G0020701147
2007-08,1610612744,G0020701149
2007-08,1610612747,G0020701150
2007-08,1610612742,G0020701144
2007-08,1610612750,G0020701148
2007-08,1610612765,G0020701143
