TEAM_SEASON,LS_MIN,LS_EFG_PCT,LS_FTA_RATE,LS_TM_TOV_PCT,LS_OREB_PCT,LS_OPP_EFG_PCT,LS_OPP_FTA_RATE,LS_OPP_TOV_PCT,LS_OPP_OREB_PCT,HEIGHT_INCHES,WEIGHT,EXP,LS_WIN_PCT,LS_PO_WINS,LS_CONF_RANK,MADE_PLAYOFFS,PO_WINS,TEAM_ID,TEAM_NAME
1610612737_2001-02,18.09756609300052,0.46109750976282177,0.3247344819895433,0.16369136417002425,0.2667588222652199,0.47620196381271906,0.35515789539895576,0.15366064527021867,0.28640678857331675,80.0,224.6153846153846,3.1538461538461537,0.305,0.0,13.0,0.0,0.0,1610612737,Hawks
1610612737_2002-03,16.801013538379742,0.46095691782180304,0.2983381604433613,0.16806454845701618,0.25071880567357613,0.4896120043965812,0.33095401294730564,0.15275390188880145,0.2981575365186915,79.1875,224.5625,4.125,0.402,0.0,12.0,0.0,0.0,1610612737,Hawks
1610612737_2003-04,18.87411895669546,0.47547841365651466,0.32444105735953227,0.16756909840153644,0.27582195322734077,0.47878855202898474,0.3155117984845183,0.14153570212965386,0.28669842245391414,80.13333333333334,227.0,4.0,0.427,0.0,11.0,0.0,0.0,1610612737,Hawks
1610612737_2004-05,13.811273012403474,0.43197490910505426,0.33493305599213247,0.16729404066713635,0.2480615077204356,0.4910593703874104,0.37509358783927454,0.167641193130496,0.2847206097023167,79.76923076923077,225.92307692307693,5.076923076923077,0.341,0.0,12.0,0.0,0.0,1610612737,Hawks
1610612737_2005-06,21.509758314136242,0.4633937133816712,0.32958356207486617,0.16923023964187653,0.27516010846320815,0.510455052538247,0.3819329792634608,0.1456108837851024,0.2804067501353238,78.84615384615384,223.6153846153846,1.9230769230769231,0.159,0.0,15.0,0.0,0.0,1610612737,Hawks
1610612737_2006-07,19.40761393606004,0.5021142607739046,0.311434622525781,0.16069182408301794,0.2904873481396613,0.4747374698097841,0.35828375801486584,0.14953017814085343,0.2765892526094586,78.73333333333333,225.06666666666666,3.6666666666666665,0.317,0.0,14.0,0.0,0.0,1610612737,Hawks
1610612737_2007-08,24.523378565657207,0.4831647694434382,0.34881596568499146,0.15269656228143005,0.3048839282968854,0.48612293953170715,0.3911753129143385,0.16930771880102247,0.2740166619822897,78.3076923076923,215.3846153846154,2.8461538461538463,0.366,0.0,13.0,0.0,3.0,1610612737,Hawks
1610612737_2008-09,19.522592671819638,0.4732094398321922,0.3458252483898442,0.15245469682538332,0.2673481004189416,0.5049362191197362,0.3868058123191079,0.13953304773616107,0.2670814968769889,78.46666666666667,227.13333333333333,3.6,0.451,3.0,8.0,1.0,4.0,1610612737,Hawks
1610612737_2009-10,20.59223493634175,0.4978433774893254,0.3528852703037387,0.12940809968317907,0.24380539034625243,0.5150256041273215,0.33564060392079403,0.1458659350952215,0.25929695597397123,79.53846153846153,230.76923076923077,6.0,0.573,4.0,4.0,1.0,4.0,1610612737,Hawks
1610612737_2010-11,18.666891454744686,0.4812585156611969,0.29900751357698807,0.14088441261740517,0.26908307003111853,0.4970535045736779,0.33689162826140984,0.15487238249116572,0.2789357770581106,80.2,232.33333333333334,5.333333333333333,0.646,4.0,3.0,1.0,6.0,1610612737,Hawks
1610612737_2011-12,19.36816075285829,0.4913370120785765,0.28358030512333443,0.15124765893893302,0.23041113158716486,0.5012735705424892,0.30912361905903285,0.14472440060401112,0.24971663322475626,79.4,229.66666666666666,8.333333333333334,0.537,6.0,5.0,1.0,2.0,1610612737,Hawks
1610612737_2012-13,22.501035641213466,0.4825146195609276,0.2774548002545821,0.14575425761187424,0.2541478158486257,0.48555469131974305,0.27928379396311526,0.15458819558781514,0.27019703246286936,78.46666666666667,223.6,5.466666666666667,0.606,2.0,5.0,1.0,2.0,1610612737,Hawks
1610612737_2013-14,17.994079209115295,0.47322491601412325,0.23506703312404206,0.1682146143339731,0.24592358922221078,0.495434199205139,0.330123666231191,0.14363147023498601,0.24620716457989497,78.66666666666667,222.2,4.266666666666667,0.537,2.0,6.0,1.0,3.0,1610612737,Hawks
1610612737_2014-15,18.730374372933934,0.49516096681919536,0.28314545178967493,0.16062551455816335,0.19567165714924908,0.5105871451133048,0.2878578744722625,0.14658143232922993,0.23560126107750887,79.0,221.46666666666667,5.066666666666666,0.463,3.0,8.0,1.0,8.0,1610612737,Hawks
1610612737_2015-16,19.5794171987966,0.5102141119804693,0.2672496820242492,0.1504370154822335,0.21930722282723988,0.48699173538531804,0.27057011963580196,0.15677122886305067,0.25684551184379195,79.26666666666667,221.26666666666668,5.6,0.732,8.0,1.0,1.0,4.0,1610612737,Hawks
1610612737_2016-17,17.55003432427998,0.49403397498506,0.2733615948627651,0.14676254958426882,0.2006434971610688,0.5039858661807528,0.2683097101212334,0.1527624855734731,0.23632878489676878,79.2,219.93333333333334,6.2,0.585,4.0,4.0,1.0,2.0,1610612737,Hawks
1610612737_2017-18,14.114436912245546,0.4805518919627895,0.29217522441651,0.16215306038535912,0.20751319704285737,0.5205588608903634,0.26731973781749546,0.14030277657452095,0.22484033619630864,78.55555555555556,206.27777777777777,1.7777777777777777,0.524,2.0,5.0,1.0,0.0,1610612737,Hawks
1610612737_2018-19,15.531172953857327,0.48474531910846164,0.25709467274483777,0.1594794495992894,0.22016335710579366,0.5532917761107635,0.3073155126166138,0.1323697448340454,0.25231541140775193,79.86666666666666,224.0,3.466666666666667,0.293,0.0,15.0,0.0,0.0,1610612737,Hawks
