,PLAYER_ID,SEASON_ID,GAME_IDS
0,1628499,2017-18,0021701214
1,1628499,2017-18,0021701202
2,1628499,2017-18,0021701184
3,1628499,2017-18,0021701172
4,1628499,2017-18,0021700448
5,1628499,2017-18,0021700435
6,1628499,2017-18,0021700417
7,1628499,2017-18,0021700402
8,1628499,2017-18,0021700388
9,1628499,2017-18,0021700372
10,1628499,2017-18,0021700356
11,1628499,2017-18,0021700327
12,1628499,2017-18,0021700295
13,1628499,2017-18,0021700283
14,1628499,2017-18,0021700260
15,1628499,2017-18,0021700233
16,1628499,2017-18,0021700224
0,1628416,2017-18,0021701214
1,1628416,2017-18,0021701202
2,1628416,2017-18,0021701184
3,1628416,2017-18,0021701172
4,1628416,2017-18,0021701158
5,1628416,2017-18,0021701147
6,1628416,2017-18,0021701130
7,1628416,2017-18,0021701120
8,1628416,2017-18,0021701101
9,1628416,2017-18,0021701087
10,1628416,2017-18,0021701077
11,1628416,2017-18,0021701062
12,1628416,2017-18,0021701041
13,1628416,2017-18,0021701021
14,1628416,2017-18,0021701007
15,1628416,2017-18,0021700993
16,1628416,2017-18,0021700978
17,1628416,2017-18,0021700958
18,1628416,2017-18,0021700943
19,1628416,2017-18,0021700928
20,1628416,2017-18,0021700915
21,1628416,2017-18,0021700897
22,1628416,2017-18,0021700874
23,1628416,2017-18,0021700853
24,1628416,2017-18,0021700848
25,1628416,2017-18,0021700834
26,1628416,2017-18,0021700819
27,1628416,2017-18,0021700811
28,1628416,2017-18,0021700799
29,1628416,2017-18,0021700786
30,1628416,2017-18,0021700767
31,1628416,2017-18,0021700755
32,1628416,2017-18,0021700739
33,1628416,2017-18,0021700726
34,1628416,2017-18,0021700714
35,1628416,2017-18,0021700705
36,1628416,2017-18,0021700688
37,1628416,2017-18,0021700675
38,1628416,2017-18,0021700654
39,1628416,2017-18,0021700641
40,1628416,2017-18,0021700621
41,1628416,2017-18,0021700612
42,1628416,2017-18,0021700598
43,1628416,2017-18,0021700590
44,1628416,2017-18,0021700576
45,1628416,2017-18,0021700533
46,1628416,2017-18,0021700413
47,1628416,2017-18,0021700397
48,1628416,2017-18,0021700342
49,1628416,2017-18,0021700280
50,1628416,2017-18,0021700177
51,1628416,2017-18,0021700123
52,1628416,2017-18,0021700107
53,1628416,2017-18,0021700042
54,1628416,2017-18,0021700038
55,1628416,2017-18,0021700017
0,1628537,2017-18,0021700993
1,1628537,2017-18,0021700978
2,1628537,2017-18,0021700958
3,1628537,2017-18,0021700943
4,1628537,2017-18,0021700928
5,1628537,2017-18,0021700915
0,1628510,2017-18,0021701172
1,1628510,2017-18,0021701130
2,1628510,2017-18,0021701120
3,1628510,2017-18,0021701101
4,1628510,2017-18,0021701087
5,1628510,2017-18,0021701077
6,1628510,2017-18,0021701062
7,1628510,2017-18,0021701041
8,1628510,2017-18,0021701021
9,1628510,2017-18,0021701007
10,1628510,2017-18,0021700993
11,1628510,2017-18,0021700978
12,1628510,2017-18,0021700897
13,1628510,2017-18,0021700874
14,1628510,2017-18,0021700853
0,1627098,2017-18,0021700943
1,1627098,2017-18,0021700928
2,1627098,2017-18,0021700915
3,1627098,2017-18,0021700853
4,1627098,2017-18,0021700848
5,1627098,2017-18,0021700834
6,1627098,2017-18,0021700819
7,1627098,2017-18,0021700811
8,1627098,2017-18,0021700799
9,1627098,2017-18,0021700786
10,1627098,2017-18,0021700767
11,1627098,2017-18,0021700755
12,1627098,2017-18,0021700739
13,1627098,2017-18,0021700726
14,1627098,2017-18,0021700714
15,1627098,2017-18,0021700705
16,1627098,2017-18,0021700688
17,1627098,2017-18,0021700675
18,1627098,2017-18,0021700654
19,1627098,2017-18,0021700641
20,1627098,2017-18,0021700621
21,1627098,2017-18,0021700612
22,1627098,2017-18,0021700598
23,1627098,2017-18,0021700590
24,1627098,2017-18,0021700576
25,1627098,2017-18,0021700551
26,1627098,2017-18,0021700533
27,1627098,2017-18,0021700522
28,1627098,2017-18,0021700508
29,1627098,2017-18,0021700484
30,1627098,2017-18,0021700477
31,1627098,2017-18,0021700455
32,1627098,2017-18,0021700443
33,1627098,2017-18,0021700413
34,1627098,2017-18,0021700397
35,1627098,2017-18,0021700390
36,1627098,2017-18,0021700342
37,1627098,2017-18,0021700280
38,1627098,2017-18,0021700256
39,1627098,2017-18,0021700250
40,1627098,2017-18,0021700230
41,1627098,2017-18,0021700204
42,1627098,2017-18,0021700195
43,1627098,2017-18,0021700177
44,1627098,2017-18,0021700169
45,1627098,2017-18,0021700146
46,1627098,2017-18,0021700107
47,1627098,2017-18,0021700085
48,1627098,2017-18,0021700072
49,1627098,2017-18,0021700065
50,1627098,2017-18,0021700042
51,1627098,2017-18,0021700038
52,1627098,2017-18,0021700017
53,1627098,2017-18,0021700009
0,202379,2017-18,0021701172
0,1627814,2017-18,0021701214
1,1627814,2017-18,0021701202
2,1627814,2017-18,0021701184
3,1627814,2017-18,0021701172
4,1627814,2017-18,0021701158
5,1627814,2017-18,0021701147
6,1627814,2017-18,0021701130
7,1627814,2017-18,0021701120
8,1627814,2017-18,0021701101
9,1627814,2017-18,0021701087
10,1627814,2017-18,0021701077
11,1627814,2017-18,0021701062
12,1627814,2017-18,0021701041
13,1627814,2017-18,0021701021
14,1627814,2017-18,0021701007
0,203705,2017-18,0021701172
1,203705,2017-18,0021701147
2,203705,2017-18,0021701120
3,203705,2017-18,0021701101
4,203705,2017-18,0021701077
5,203705,2017-18,0021700993
6,203705,2017-18,0021700978
7,203705,2017-18,0021700958
8,203705,2017-18,0021700897
9,203705,2017-18,0021700675
