"tm","age_prior","g_prior","gs_prior","mpg_prior","fg_prior","fga_prior","fg_per_prior","x3p_prior","x3pa_prior","x3p_per_prior","x2p_prior","x2pa_prior","x2p_per_prior","e_fg_per_prior","ft_prior","fta_prior","ft_per_prior","orb_prior","drb_prior","trb_prior","ast_prior","stl_prior","blk_prior","tov_prior","pf_prior","pts_prior","tot_mp_prior","per_prior","ts_per_prior","x3p_ar_prior","f_tr_prior","orb_per_prior","drb_per_prior","trb_per_prior","ast_per_prior","stl_per_prior","blk_per_prior","tov_per_prior","usg_per_prior","ows_prior","dws_prior","ws_prior","ws_48_prior","obpm_prior","dbpm_prior","bpm_prior","vorp_prior","won","season"
"PHI_2017",17.5714285714286,40.7142857142857,13.0714285714286,14.5714285714286,2.20714285714286,4.92857142857143,0.317071428571429,0.607142857142857,1.67142857142857,0.209642857142857,1.61428571428571,3.27142857142857,0.311714285714286,0.366071428571429,0.864285714285714,1.16428571428571,0.515785714285714,0.564285714285714,1.74285714285714,2.3,1.29285714285714,0.507142857142857,0.271428571428571,0.921428571428571,1.32142857142857,5.87857142857143,884.714285714286,9.16428571428571,0.387428571428571,0.2655,0.168642857142857,3,8.82857142857143,5.87142857142857,10.1214285714286,1.23571428571429,0.957142857142857,10.7785714285714,13.3571428571429,0.428571428571429,0.65,1.06428571428571,0.0467142857142857,-0.914285714285714,-0.492857142857143,-1.4,0.05,0,2017
"PHI_2018",19.6,45.5333333333333,25.8666666666667,16.5266666666667,2.63333333333333,5.93333333333333,0.361933333333333,0.68,1.95333333333333,0.2646,1.94,3.99333333333333,0.405066666666667,0.405866666666667,1.44,1.81333333333333,0.611933333333333,0.74,2.42,3.15333333333333,1.52666666666667,0.573333333333333,0.486666666666667,1.22666666666667,1.50666666666667,7.36,983.4,10.9866666666667,0.438066666666667,0.260266666666667,0.229933333333333,4.03333333333333,12.5333333333333,8.3,10.5333333333333,1.36666666666667,1.92,11.26,15.84,0.646666666666667,1.14,1.77333333333333,0.0628666666666667,-0.846666666666667,0.293333333333333,-0.56,0.38,5,2018
"PHI_2019",17.75,33.1666666666667,19.4166666666667,13.6333333333333,2.55833333333333,5.28333333333333,0.372166666666667,0.408333333333333,1.06666666666667,0.230833333333333,2.14166666666667,4.225,0.375916666666667,0.406,1.11666666666667,1.60833333333333,0.426333333333333,0.641666666666667,2.16666666666667,2.81666666666667,2.05833333333333,0.55,0.333333333333333,1.00833333333333,1.28333333333333,6.61666666666667,832.583333333333,12.7166666666667,0.409916666666667,0.156083333333333,0.273666666666667,4.15833333333333,10.425,7.40833333333333,14.5916666666667,2.05833333333333,1.09166666666667,8.28333333333333,15.2833333333333,1.20833333333333,1.3,2.51666666666667,0.109833333333333,0.0583333333333333,1,1.05833333333333,0.883333333333333,7,2019
"PHI_2020",20.9230769230769,46,26.6153846153846,19.1153846153846,3.59230769230769,7.54615384615385,0.397846153846154,0.761538461538462,2.24615384615385,0.246461538461538,2.83076923076923,5.29230769230769,0.444538461538462,0.444615384615385,1.66153846153846,2.14615384615385,0.655769230769231,0.830769230769231,3.14615384615385,3.96923076923077,2.3,0.538461538461538,0.5,1.2,1.60769230769231,9.63076923076923,1172.46153846154,13.1846153846154,0.470923076923077,0.275846153846154,0.196538461538462,3.83846153846154,14.2,9.07692307692308,14.8384615384615,1.13846153846154,1.83076923076923,10.4769230769231,17.3846153846154,1.81538461538462,1.47692307692308,3.3,0.0974615384615385,-0.0230769230769231,0.330769230769231,0.3,1.17692307692308,0,2020
"PHI_2021",21.7647058823529,46.4117647058824,22,17.6411764705882,2.78823529411765,5.82352941176471,0.388529411764706,0.876470588235294,2.32941176470588,0.312117647058823,1.91764705882353,3.5,0.445,0.454235294117647,1.25882352941176,1.7,0.614,0.782352941176471,2.54117647058824,3.28823529411765,1.53529411764706,0.576470588235294,0.382352941176471,0.958823529411765,1.71176470588235,7.68823529411765,1061.52941176471,11.2176470588235,0.476,0.363117647058824,0.232941176470588,4.05294117647059,12.7235294117647,8.4,9,1.15294117647059,1.70588235294118,10.4647058823529,14.1647058823529,1.33529411764706,1.25294117647059,2.6,0.091,-0.764705882352941,0.176470588235294,-0.582352941176471,0.605882352941176,7,2021
"PHI_2022",25.0714285714286,57.2857142857143,30.5714285714286,21.9571428571429,4.05714285714286,8.43571428571429,0.466428571428571,1.03571428571429,2.72857142857143,0.325642857142857,3.01428571428571,5.72857142857143,0.503,0.538,1.86428571428571,2.44285714285714,0.749214285714286,1.06428571428571,3.36428571428571,4.42857142857143,2.10714285714286,0.9,0.592857142857143,1.25714285714286,1.82142857142857,11.0357142857143,1332.07142857143,16.35,0.566214285714286,0.383285714285714,0.233214285714286,5.30714285714286,15.2928571428571,10.3428571428571,13.7571428571429,2.05,2.50714285714286,11.0857142857143,20.4857142857143,1.80714285714286,2.15714285714286,3.95,0.134857142857143,0.128571428571429,0.671428571428571,0.807142857142857,1.15714285714286,0,2022
"PHO_2001",23.8181818181818,51.4545454545455,34.1818181818182,22.7363636363636,3.54545454545455,7.77272727272727,0.362272727272727,0.5,1.39090909090909,0.218181818181818,3.04545454545455,6.38181818181818,0.377636363636364,0.387090909090909,1.70909090909091,2.23636363636364,0.603454545454545,1.20909090909091,2.91818181818182,4.12727272727273,2.51818181818182,0.890909090909091,0.418181818181818,1.43636363636364,1.97272727272727,9.31818181818182,1489,12.2545454545455,0.419090909090909,0.137454545454545,0.237818181818182,5.76363636363636,11.5,8.69090909090909,12.4272727272727,1.56363636363636,1.23636363636364,11.6909090909091,15.4909090909091,2.03636363636364,2.39090909090909,4.45454545454545,0.107272727272727,0.0636363636363636,0.836363636363636,0.890909090909091,1.50909090909091,1,2001
"PHO_2002",24.2727272727273,44.9090909090909,19.4545454545455,19.5363636363636,2.90909090909091,6.64545454545455,0.395363636363636,0.345454545454545,1.12727272727273,0.169545454545455,2.59090909090909,5.50909090909091,0.412454545454545,0.414363636363636,1.41818181818182,1.89090909090909,0.670363636363636,0.927272727272727,2.52727272727273,3.43636363636364,1.80909090909091,0.709090909090909,0.427272727272727,1.03636363636364,1.8,7.54545454545455,1036.36363636364,11.5454545454545,0.45,0.129454545454545,0.276,5.18181818181818,13.6363636363636,9.33636363636364,11.9272727272727,1.61818181818182,1.6,13.2272727272727,16.5636363636364,1.19090909090909,1.34545454545455,2.54545454545455,0.0789090909090909,-1.8,0.490909090909091,-1.33636363636364,0.727272727272727,0,2002
"PHO_2003",21,44.4285714285714,30.7142857142857,17.8357142857143,2.54285714285714,5.63571428571429,0.335642857142857,0.135714285714286,0.414285714285714,0.145642857142857,2.41428571428571,5.21428571428571,0.340571428571429,0.340214285714286,1.12142857142857,1.49285714285714,0.529428571428571,1.1,2.39285714285714,3.50714285714286,1.58571428571429,0.542857142857143,0.535714285714286,1.05,1.72142857142857,6.33571428571429,1180.85714285714,10.0285714285714,0.366571428571429,0.0307857142857143,0.224857142857143,5.49285714285714,11.6571428571429,8.52857142857143,10.8285714285714,1.04285714285714,2.31428571428571,10.5285714285714,13.1214285714286,1.16428571428571,1.35714285714286,2.52142857142857,0.062,-1.32857142857143,0.314285714285714,-1,0.6,2,2003
"PHO_2004",13.875,47.75,23.375,16.3625,2.5,5.6125,0.28225,0.4125,1.175,0.1585,2.0625,4.45,0.294125,0.30425,1.275,1.75,0.454875,1.0125,2.2625,3.275,0.95,0.5875,0.375,0.875,1.4375,6.675,1286.5,8.7625,0.329625,0.127875,0.23125,4.325,8.95,6.625,5.75,1.025,0.9875,8.425,11.575,1.6,1.625,3.2125,0.06775,-0.3125,0.1375,-0.2,0.9,0,2004
