"tm","age_prior","g_prior","gs_prior","mpg_prior","fg_prior","fga_prior","fg_per_prior","x3p_prior","x3pa_prior","x3p_per_prior","x2p_prior","x2pa_prior","x2p_per_prior","e_fg_per_prior","ft_prior","fta_prior","ft_per_prior","orb_prior","drb_prior","trb_prior","ast_prior","stl_prior","blk_prior","tov_prior","pf_prior","pts_prior","tot_mp_prior","per_prior","ts_per_prior","x3p_ar_prior","f_tr_prior","orb_per_prior","drb_per_prior","trb_per_prior","ast_per_prior","stl_per_prior","blk_per_prior","tov_per_prior","usg_per_prior","ows_prior","dws_prior","ws_prior","ws_48_prior","obpm_prior","dbpm_prior","bpm_prior","vorp_prior","won","season"
"ATL_2001",24.25,53.875,16.625,16.775,2.2625,5.2875,0.49275,0.2875,0.925,0.201,1.9625,4.3625,0.507375,0.516375,1.175,1.6625,0.697875,0.9,1.55,2.4375,1.2625,0.5375,0.25,0.9875,1.4125,6,1075,12.4375,0.538375,0.15225,0.400125,5.1625,10.4875,7.8125,11.1,1.775,0.95,15.4875,17.425,0.725,0.5375,1.2875,0.058,-1.3375,-0.5,-1.8625,-0.0375,0,2001
"ATL_2002",25.1333333333333,60.7333333333333,26.9333333333333,20.1533333333333,2.86,6.36666666666667,0.438533333333333,0.246666666666667,0.726666666666667,0.186533333333333,2.59333333333333,5.64,0.4478,0.457466666666667,1.62,2.14666666666667,0.723266666666667,1.03333333333333,2.48,3.50666666666667,1.42,0.56,0.533333333333333,1.37333333333333,1.95333333333333,7.56,1336.33333333333,12.2266666666667,0.5026,0.109666666666667,0.329533333333333,6.14,13.8333333333333,10.0133333333333,10.1866666666667,1.41333333333333,1.92666666666667,16.06,18.6733333333333,0.933333333333333,1.15333333333333,2.08666666666667,0.0647333333333333,-1.9,-0.32,-2.24,0.266666666666667,0,2002
"ATL_2003",27.0666666666667,45.7333333333333,27.6666666666667,23.3866666666667,3.46666666666667,7.72666666666667,0.445266666666667,0.406666666666667,1.21333333333333,0.2392,3.03333333333333,6.5,0.459,0.467,1.7,2.36,0.687,1.23333333333333,2.78666666666667,3.98666666666667,1.60666666666667,0.753333333333333,0.626666666666667,1.54,2.21333333333333,9.04,1197.8,12.4066666666667,0.499133333333333,0.131333333333333,0.321066666666667,6.82666666666667,13.24,10.0333333333333,10.9266666666667,1.62,2.28,16.1933333333333,19.4733333333333,1.03333333333333,0.966666666666667,1.98,0.0486,-1.99333333333333,-0.18,-2.19333333333333,0.38,0,2003
"ATL_2004",26.3333333333333,56.8333333333333,32.1666666666667,20.1833333333333,2.93333333333333,6.46666666666667,0.477666666666667,0.583333333333333,1.66666666666667,0.209833333333333,2.35,4.8,0.512166666666667,0.507,1.46666666666667,1.83333333333333,0.822666666666667,0.833333333333333,2.01666666666667,2.83333333333333,2.23333333333333,0.833333333333333,0.283333333333333,1.3,1.83333333333333,7.88333333333333,1442.83333333333,16.5166666666667,0.550833333333333,0.176833333333333,0.312833333333333,7.01666666666667,12.25,9.73333333333333,13.6833333333333,2.03333333333333,1.5,13.25,18.8333333333333,1.71666666666667,1.18333333333333,2.88333333333333,0.1335,0.566666666666667,-0.1,0.483333333333333,0.65,0,2004
"ATL_2005",27.6,43,10.8,15.24,1.93,4.37,0.3876,0.13,0.41,0.1363,1.83,3.96,0.3975,0.3971,1.11,1.54,0.6306,1.03,2.25,3.26,0.73,0.44,0.3,0.89,1.88,5.12,762.7,10.56,0.4435,0.0653,0.3691,8.12,17.73,12.94,6.32,1.37,1.65,23.53,16.45,0.37,0.81,1.18,0.0605,-3.37,-0.48,-3.86,-0.01,0,2005
"ATL_2006",22.2222222222222,64.1111111111111,36.6666666666667,23.9,3.36666666666667,7.44444444444444,0.435,0.444444444444444,1.12222222222222,0.232111111111111,2.91111111111111,6.31111111111111,0.446333333333333,0.456,1.66666666666667,2.31111111111111,0.704333333333333,1.25555555555556,2.66666666666667,3.94444444444444,2.01111111111111,0.744444444444444,0.422222222222222,1.37777777777778,2.1,8.78888888888889,1702.88888888889,12.4111111111111,0.501666666666667,0.116666666666667,0.355444444444444,6.01111111111111,12.8333333333333,9.32222222222222,12.8444444444444,1.74444444444444,1.47777777777778,15.1111111111111,17.6,1.62222222222222,0.755555555555556,2.38888888888889,0.0478888888888889,-1.81111111111111,-0.766666666666667,-2.57777777777778,0.3,0,2006
"ATL_2007",23.6428571428571,58.5,28.7142857142857,21.6,2.98571428571429,6.77142857142857,0.441714285714286,0.45,1.27142857142857,0.252285714285714,2.51428571428571,5.5,0.457214285714286,0.471642857142857,1.68571428571429,2.22857142857143,0.7015,1.10714285714286,2.29285714285714,3.39285714285714,1.82142857142857,0.685714285714286,0.4,1.27857142857143,2.18571428571429,8.12142857142857,1478.07142857143,13.2357142857143,0.513714285714286,0.170142857142857,0.306428571428571,6.13571428571429,12.7,9.35,13.25,1.64285714285714,1.23571428571429,12.9214285714286,18.7571428571429,1.55,0.807142857142857,2.35714285714286,0.0715,-1.03571428571429,-0.785714285714286,-1.82142857142857,0.328571428571429,0,2007
"ATL_2008",22.4285714285714,62.7142857142857,37.1428571428571,29.3714285714286,4.71428571428571,10.2714285714286,0.463571428571429,0.6,1.74285714285714,0.224857142857143,4.11428571428571,8.51428571428571,0.484428571428571,0.487857142857143,2.9,3.77142857142857,0.788714285714286,1.48571428571429,3.47142857142857,4.95714285714286,2.08571428571429,0.857142857142857,0.785714285714286,1.91428571428571,2.51428571428571,12.9571428571429,1847.85714285714,15.2428571428571,0.546714285714286,0.145,0.399857142857143,6.14285714285714,14.2714285714286,10.1571428571429,11.6285714285714,1.45714285714286,2.21428571428571,13.5428571428571,20.7,1.95714285714286,1.55714285714286,3.5,0.0902857142857143,0,-0.557142857142857,-0.557142857142857,0.971428571428571,3,2008
"ATL_2009",24.0714285714286,59.4285714285714,34,21.85,3.2,7.50714285714286,0.416928571428571,0.457142857142857,1.44285714285714,0.172428571428571,2.72142857142857,6.07857142857143,0.445571428571429,0.438785714285714,1.79285714285714,2.42142857142857,0.655285714285714,1,2.42142857142857,3.41428571428571,2.02857142857143,0.685714285714286,0.385714285714286,1.37857142857143,1.98571428571429,8.64285714285714,1501.21428571429,11.0357142857143,0.483642857142857,0.155428571428571,0.365428571428571,6.50714285714286,12.4571428571429,9.47142857142857,12.6571428571429,1.58571428571429,1.2,14.7428571428571,19.5071428571429,1.06428571428571,1.25714285714286,2.34285714285714,0.0353571428571429,-2.61428571428571,-0.907142857142857,-3.52142857142857,0.407142857142857,4,2009
"ATL_2010",25.6923076923077,58.3846153846154,39.5384615384615,23.6692307692308,3.53076923076923,7.80769230769231,0.449923076923077,0.669230769230769,1.82307692307692,0.242692307692308,2.86153846153846,5.96923076923077,0.463769230769231,0.478615384615385,1.86923076923077,2.53076923076923,0.679692307692308,1.16153846153846,2.90769230769231,4.07692307692308,1.92307692307692,0.676923076923077,0.430769230769231,1.15384615384615,1.97692307692308,9.59230769230769,1606.30769230769,13.0153846153846,0.516307692307692,0.152769230769231,0.378461538461538,6.97692307692308,15.5307692307692,11.2461538461538,10.6384615384615,1.6,1.61538461538462,13.3461538461538,17.4153846153846,2.13846153846154,1.53076923076923,3.66923076923077,0.0911538461538462,-1.36923076923077,0.0615384615384615,-1.32307692307692,1.03076923076923,4,2010
